repo,path
neo4jrb/activegraph,code_of_conduct.md
mime-types/ruby-mime-types,Code-of-Conduct.md
maca/scruby,CODE_OF_CONDUCT.md
beanstalkd/beanstalkd,CodeOfConduct.txt
CarlosGabaldon/reggie,CODE_OF_CONDUCT.md
spree/spree,CODE_OF_CONDUCT.md
sparklemotion/nokogiri,CODE_OF_CONDUCT.md
git/git,CODE_OF_CONDUCT.md
holidays/holidays,CODE_OF_CONDUCT.md
nanoc/nanoc,CODE_OF_CONDUCT.md
gaphor/gaphas,CODE_OF_CONDUCT.md
angular/angular.js,CODE_OF_CONDUCT.md
ReactionMechanismGenerator/RMG-Py,CODE_OF_CONDUCT.md
ccnmtl/mediathread,CODE_OF_CONDUCT.md
VsVim/VsVim,CODE_OF_CONDUCT.md
gaphor/gaphor,CODE_OF_CONDUCT.md
pouchdb/pouchdb,CODE_OF_CONDUCT.md
SBJson/SBJson,CODE_OF_CONDUCT.md
tendenci/tendenci,CODE_OF_CONDUCT.md
http-party/node-http-proxy,CODE_OF_CONDUCT.md
HHRy/prawn-graph,CODE_OF_CONDUCT.md
GeoNode/geonode,CODE_OF_CONDUCT.md
alastairhm/pyBrick,CODE_OF_CONDUCT.md
tweenjs/tween.js,CODE_OF_CONDUCT.md
rust-lang/rust,CODE_OF_CONDUCT.md
fabricjs/fabric.js,CODE_OF_CONDUCT.md
apache/jmeter,CODE_OF_CONDUCT.md
gaphor/generic,CODE_OF_CONDUCT.md
Graylog2/graylog2-server,CODE_OF_CONDUCT.md
aws/aws-sdk-java,CODE_OF_CONDUCT.md
janlelis/clipboard,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-java-client,CODE_OF_CONDUCT.md
petergoldstein/dalli,code_of_conduct.md
Falkor/dotfiles,CODE_OF_CONDUCT.md
janlelis/sugar_refinery,CODE_OF_CONDUCT.md
rails-sqlserver/tiny_tds,CODE_OF_CONDUCT.md
scikit-learn/scikit-learn,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-toke,CODE_OF_CONDUCT.md
NodeRedis/node-redis,CODE_OF_CONDUCT.md
jmeter-maven-plugin/jmeter-maven-plugin,CODE_OF_CONDUCT.md
etorreborre/specs2,CODE_OF_CONDUCT.md
getsentry/sentry,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-server,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-stomp,CODE_OF_CONDUCT.md
sass/sass,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-management,CODE_OF_CONDUCT.md
Blosc/bcolz,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-codegen,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-erlang-client,CODE_OF_CONDUCT.md
serialport/node-serialport,CODE_OF_CONDUCT.md
dannnylo/rtesseract,CODE_OF_CONDUCT.md
sauce-archives/sauce_ruby,code_of_conduct.markdown
rabbitmq/rabbitmq-public-umbrella,CODE_OF_CONDUCT.md
presidentbeef/brakeman,CODE_OF_CONDUCT.md
Blosc/python-blosc,code_of_conduct.md
voormedia/rails-erd,CODE_OF_CONDUCT.md
illumos/illumos-gate,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-shovel,CODE_OF_CONDUCT.md
janlelis/irbtools,CODE_OF_CONDUCT.md
psychopy/psychopy,code-of-conduct.md
rabbitmq/rabbitmq-dotnet-client,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-management-agent,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-auth-backend-ldap,CODE_OF_CONDUCT.md
janlelis/fancy_irb,CODE_OF_CONDUCT.md
moumar/ruby-audioinfo,CODE_OF_CONDUCT.md
aws/aws-toolkit-eclipse,CODE_OF_CONDUCT.md
