Owner,Repository,Star,Contributor,Path
CoCreate-app,CoCreate-openebs,0,2,src/CODE_OF_CONDUCT.md
moody0006,ddd,0,1,_articles/code-of-conduct.md
jamesmgreene-learning-lab-test-org,oss-enterprise,0,7,responses/04-code-of-conduct.md
Moka-Rezq,www.opensource.guide,1,1,_articles/code-of-conduct.md
BryanLaura,Google-api-python-client,1,123,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
BryanLaura,Google-api-python-client,1,123,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
BryanLaura,Google-api-python-client,1,123,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
danielbarboni,cms_test,0,1,vendor/bundle/gems/devise-4.4.1/CODE_OF_CONDUCT.md
lalabear0014,human_1060208,0,0,vendor/bundle/ruby/2.4.0/gems/devise-4.2.0/CODE_OF_CONDUCT.md
lioncorpo,Docs.,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
lioncorpo,Docs.,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
salesforce,wire-service-jest-util,13,9,CODE_OF_CONDUCT.md
lioncorpo,Docs.,0,1,translations/ru-RU/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
lioncorpo,Docs.,0,1,translations/ko-KR/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
lioncorpo,Docs.,0,1,content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
wyfish,tensorflow_study,0,378,CODE_OF_CONDUCT.md
mike22664,messages,0,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
mike22664,messages,0,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
mike22664,messages,0,1,content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
RobinDevRepos,Blockchain-server,0,36,CODE_OF_CONDUCT.md
hutte-io,example-project,1,1,CODE_OF_CONDUCT.md
laurel-he,symfony_project,0,1,vendor/symfony/symfony/.github/CODE_OF_CONDUCT.md
adafruit,Adafruit_VCNL4040,2,2,code-of-conduct.md
saeedbaloch,baharan,1,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
saeedbaloch,baharan,1,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
salesforceiq-oss,when-visible,0,3,CODE_OF_CONDUCT.md
saeedbaloch,baharan,1,1,translations/ru-RU/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
saeedbaloch,baharan,1,1,translations/ko-KR/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
saeedbaloch,baharan,1,1,content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
lioncorpo,documents,1,1,translations/ru-RU/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
lioncorpo,documents,1,1,translations/ko-KR/content/github/building-a-strong-community/adding-a-code-of-conduct-to-your-project.md
creativecommons,termination-of-transfer,13,9,CODE_OF_CONDUCT.md
forcedotcom,SFDX-Data-Move-Utility,172,3,CODE_OF_CONDUCT.md
Narayana123456,trailheadapps-ebikes-lwc,0,14,CODE_OF_CONDUCT.md
lioncorpo,documents,1,1,translations/ru-RU/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
lioncorpo,documents,1,1,translations/ko-KR/content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
lioncorpo,documents,1,1,content/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project.md
adafruit,Adafruit_Python_Extended_Bus,11,3,CODE_OF_CONDUCT.md
FabricMC,community,8,18,CODE_OF_CONDUCT.md
quay,clair-jwt,7,12,code-of-conduct.md
jdschleicher,shift-left-dreamhouse-lwc,0,1,CODE_OF_CONDUCT.md
salesforce,generic-sidecar-injector,119,5,CODE_OF_CONDUCT.md
kingsd041,pandaria-vip,0,71,code-of-conduct.md
sahil-garg3,salesforcedx-vscode,0,50,CODE_OF_CONDUCT.md
lucasnevespereira,go-gituser,4,2,CODE_OF_CONDUCT.md
salesforce,refocus-bot-oncall,3,6,CODE_OF_CONDUCT.md
V-gaeta05,Hypernova,0,2,vendor/stripe/stripe-php/CODE_OF_CONDUCT.md
V-gaeta05,Hypernova,0,2,pagamentionline/vendor/stripe/stripe-php/CODE_OF_CONDUCT.md
