user_login,is_person
LabhanshAgrawal,True
matheuss,True
qmutz,False
T-O-R-U-S,False
bet4it,False
leodr,True
kawarimidoll,False
colby-swandale,True
dagronlund,True
tpanning,True
Anshu-jindal,True
supsa-ak,True
msb217,True
styfle,True
srevinsaju,True
danacr,True
Zachpocalypse,True
fulldecent,True
sarupbanskota,True
eertmanhidde,True
simonxabris,True
Rasukarusan,True
Stanzilla,True
cristianbgp,True
ivanwonder,False
mikemcbride,True
yohan-choi-dev,True
ahmedx2,True
tuxinaut,True
lgeiger,True
razfriman,True
GitSquared,True
ShaggyDev,True
Aebrathia,True
joeamis95,True
gabrieldrs,True
Lyncredible,True
jamesgeorge007,True
kaushikchaubal,True
TheRealSyler,True
pookdeveloper,False
MisterTea,True
mjjames,True
JoshuaKGoldberg,True
guidsdo,True
Vico1993,True
pablopunk,True
chamoda,True
erictaylor,True
Luxcium,True
DaneTheory,True
juancampa,True
zacharyrs,True
chabou,False
charlesscheuer,True
kant,True
kbrock84,True
JamesAndrewJackson13,True
cameronhimself,True
ArtBIT,False
frux,True
vosdev,True
ppot,True
Kacppian,True
cwlowder,True
evilrabbit,False
lpedromachado,True
doniyor2109,True
igorsdv,True
pndyjack,True
wanderingstan,True
jakub-chatrny,True
ulentini,True
dfrankland,True
pi0,False
parktheredcar,True
fernandosutter,True
nersoh,True
zerdos,True
phungtuanhoang1996,True
robertgrzonka,False
MatthiasWinkelmann,True
olsgreen,True
V1NAY8,True
plus7wist,False
szincone,False
keanemind,True
brandon93s,True
danielbayerlein,True
steven-isbell,True
xbtsw,True
ShanTulshi,False
hayer,True
itaisteinherz,True
hectorqin,False
miyaokamarina,True
audiolion,True
jocull,True
teekwak,True
timothyis,True
leo,True
pierreneter,True
PlanetVaster,True
hknielsen,True
ahmadmzak,True
prashant-andani,True
pd4d10,True
LevitatingBusinessMan,False
astronomersiva,False
SamuelTulach,True
mdogadailo,True
Pavel-Durov,True
razzius,True
El-Dringo-Brannde,True
markozxuu,True
jcrben,True
chhschou,True
WeslyG,True
rfgamaral,True
ahutchings,True
jaridmargolin,True
jaydh,True
mtslzr,True
lujjjh,True
ghost,False
DanielRuf,True
sonnyg,True
umpc,True
Manish-Giri,True
tjwelde,True
bdougherty,True
mapitman,True
tool3,True
hharnisc,True
albinekb,True
ajomadlabs,True
amiram,True
Ameya05,True
aditya0099,True
lesce,True
codetriage-readme-bot,True
MrMaxie,True
angristan,True
saamalik,True
ethanx94,True
