repository_url,star,size,age
vercel/hyper,36315,18819,155757519
jquery/jquery,55150,30932,384338386
TryGhost/ghost,38064,57452,255444647
TheAlgorithms/Java,39734,2488,154445938
PowerShell/PowerShell,27888,79937,170378305
neo4jrb/activegraph,1342,48481,410966124
scikit-learn/scikit-learn,46607,126460,341072182
opencv/opencv,55730,496309,280419583
alacritty/alacritty,33783,11252,167335050
rails/rails,48757,229066,415230013
scrapy/scrapy,41180,21600,356302726
moment/moment,45863,19995,324159234
tikv/tikv,9639,51045,171569308
moby/moby,60751,173747,264574143
ytdl-org/youtube-dl,98105,63683,334574693
caddyserver/caddy,34089,14603,201928497
adobe/brackets,33693,92926,299814320
airbnb/javascript,112376,3353,271298770
discourse/discourse,33705,378772,265156445
GeoNode/geonode,1023,425478,347521513
fsprojects/Fantomas,515,73812,263277963
KhronosGroup/WebGL,2025,31967,279700689
googleapis/google-cloud-python,3635,1781572,232182493
salesforce/design-system-react,737,184769,183490202
salesforce/lwc,1046,27139,121833484
electron/electron,94603,103447,257379144
TryGhost/Ghost,38064,57452,255444647
atom/atom,55778,331812,296023299
facebook/react,172044,168134,253698246
github/gitignore,121361,2172,333859366
pallets/flask,56148,8551,352558081
mozilla/pdf.js,35592,119840,319310877
angular/angular.js,59604,101738,360368723
fabricjs/fabric.js,19148,126777,346988122
